claimid,incident_date,claim_type,uninhabitable,claim_amount,fraudulent,policyid,policy_date,coverage,deductible,townsize,gender,dob,edcat,job_start_date,retire,income,marital,reside,occupancy_date,primary_residence
351069569,01/18/2008,3,0,192.29,0,SSB-514465,01/26/1987,436,2000,1,1,12/3/1943,2,04/16/1981,0,193,0,1,6/1/1978,1
806984053,07/18/2008,3,0,355.9,0,XWZ-702801,05/14/1983,925,1000,2,0,10/5/1933,2,4/11/1982,0,203,0,1,4/2/1971,1
654100160,1/3/2008,5,0,3.53,0,FMP-391297,01/15/1988,79,1000,1,1,2/4/1939,2,08/20/2004,0,49,0,1,03/30/1977,1
653220231,10/28/2008,1,0,33.45,0,WEV-471919,02/22/2000,607,1000,1,0,12/4/1972,3,07/29/1999,0,118,1,3,05/23/1993,1
226637568,05/31/2008,5,0,4.03,0,ESY-256692,9/8/2001,119,3000,5,1,4/8/1968,1,4/7/2004,0,18,0,1,4/9/2000,1
46113373,03/22/2008,4,0,66.36,0,NJF-209320,06/16/1994,144,500,2,0,09/24/1930,3,06/19/1969,1,25,1,2,5/4/1993,1
397237121,9/8/2008,1,0,29.39,0,RBC-327042,08/25/2006,636,1000,4,0,11/18/1982,4,11/27/2008,0,36,0,1,2/9/2003,1
917836504,2/11/2008,2,0,28.99,0,NFD-705036,12/5/1995,254,2000,1,1,06/18/1944,1,07/24/1988,1,13,1,2,08/17/1986,1
277901331,10/28/2008,4,0,128.32,0,OTS-825151,3/12/1978,291,1000,2,0,11/13/1948,4,09/17/1997,0,91,0,1,07/15/1968,1
16290780,8/1/2008,5,0,4.84,0,EEA-886708,10/2/2006,114,1000,5,1,06/24/1981,1,11/4/2005,0,23,1,4,2/12/2000,1
875862167,02/29/2008,5,0,32.44,0,CLY-407809,10/4/2005,548,2000,1,1,8/5/1980,2,11/22/2002,0,40,1,4,09/15/1999,1
458540387,09/14/2008,1,0,2.78,0,ATC-716797,11/19/1999,109,1000,5,1,08/23/1967,5,6/2/2004,0,62,1,2,12/8/1992,1
351399564,08/17/2008,2,0,20.31,0,YOH-544609,09/21/1967,226,500,2,0,11/29/1931,2,01/25/2006,1,28,1,2,2/8/1959,1
459501651,7/7/2008,2,0,25.88,0,NST-864719,06/21/1996,252,2000,3,1,9/3/1954,2,04/16/2001,0,48,1,3,4/1/1988,1
668190250,04/18/2008,5,1,114.47,0,YFA-510747,10/3/1984,668,3000,2,0,6/7/1943,2,06/25/1980,0,152,1,2,2/12/1979,1
744305352,7/9/2008,1,0,16.88,0,MRN-168607,04/28/1984,212,1000,3,1,01/20/1941,3,10/20/2004,0,62,1,2,07/19/1980,1
